emp_id,age,gender,tenure,department,attn_check,js1,js2,js3,eng1,eng2,eng3
E001,42,2,2.4,3,4,3,5,1,3,3,NA
E002,33,2,1.2,4,4,2,3,2,2,2,2
E003,53,2,8.3,3,4,3,4,1,4,5,3
E004,34,2,0.7,3,4,4,3,2,4,3,4
E005,43,2,11.6,1,4,2,5,2,4,4,2
E006,41,2,18.9,4,4,4,1,2,3,3,3
E007,53,1,7.2,4,4,5,4,1,2,3,4
E008,29,2,5.3,1,4,4,3,3,4,3,2
E009,40,3,11.1,2,4,5,5,1,4,3,4
E010,43,1,2.8,4,4,4,2,3,4,4,NA
E011,41,3,7.8,1,4,5,4,1,3,3,4
E012,43,1,6.9,3,4,5,5,1,4,4,5
E013,49,2,19,4,1,3,4,2,3,4,3
E014,36,2,18.3,4,4,3,4,1,4,3,4
E015,56,1,15.4,4,4,4,4,1,4,3,3
E016,59,1,15.3,4,4,4,3,1,4,4,NA
E017,26,1,20,3,4,3,3,2,4,3,4
E018,30,2,11.8,1,4,1,2,2,1,3,2
E019,41,2,4.7,4,3,1,2,3,3,3,4
E020,35,1,3.1,3,4,5,4,1,4,NA,NA
E021,41,2,15.9,3,5,4,4,3,3,3,3
E022,45,2,19.6,2,4,2,2,3,4,3,5
E023,31,2,19.6,1,4,3,2,1,2,1,3
E024,51,2,2.9,4,4,4,4,1,5,5,4
E025,28,1,12.6,3,4,5,5,1,2,4,5
E026,50,2,17.2,3,4,3,4,2,2,3,3
E027,33,1,3.2,3,4,3,2,2,2,NA,3
E028,39,1,7.6,4,4,3,2,1,3,4,3
E029,51,1,3.6,1,4,3,3,1,4,4,1
E030,41,3,9.2,1,4,3,4,1,4,3,3
E031,36,1,10,4,4,4,4,2,2,4,3
E032,32,1,19,3,1,4,5,1,3,NA,3
E033,31,2,18.1,3,4,3,5,1,4,4,4
E034,32,2,18.8,4,4,2,3,1,4,4,4
E035,45,1,15.6,3,4,4,4,1,NA,4,3
E036,51,2,2.3,3,4,2,1,2,3,2,3
E037,26,2,0.8,1,4,3,3,2,3,3,4
E038,43,1,7,3,4,3,4,1,3,3,3
E039,56,2,5.2,2,4,2,1,2,2,2,3
E040,51,2,15.9,2,4,NA,2,NA,2,1,2
E041,35,1,10.2,1,4,4,2,1,4,4,2
E042,27,2,10.5,1,4,3,2,2,2,3,3
E043,45,1,1.9,1,4,5,5,1,4,NA,1
E044,55,2,7.2,2,4,3,3,1,2,3,1
E045,43,1,15.2,1,4,3,2,3,2,3,2
E046,50,2,8,4,4,3,4,2,5,4,4
E047,42,2,0.6,2,4,1,1,3,4,3,3
E048,36,2,14.5,2,4,4,4,1,5,5,5
E049,61,1,11.4,1,4,3,4,2,4,5,3
E050,59,2,1.9,3,4,3,NA,3,4,2,1
E051,30,1,7.3,2,4,4,5,1,1,3,3
E052,60,1,8.6,4,4,4,4,1,3,2,3
E053,57,2,6.6,1,4,5,NA,1,5,4,4
E054,50,1,14.9,3,1,4,3,1,4,4,4
E055,43,1,8.1,2,4,NA,3,2,2,3,1
E056,41,2,12.6,1,2,3,4,2,3,4,2
E057,30,1,12.7,3,4,4,4,1,4,2,3
E058,26,2,16.1,2,4,4,4,1,1,3,3
E059,41,2,13.3,4,4,NA,3,4,2,4,1
E060,34,1,13.7,3,4,4,4,2,4,2,4
E061,53,2,8.5,2,4,2,4,1,4,2,3
E062,58,1,13.4,1,4,5,4,2,4,5,4
E063,35,2,1,1,4,5,3,1,5,4,3
E064,55,1,16.4,3,4,4,4,1,3,3,5
E065,31,1,2,2,4,2,3,2,3,3,4
E066,53,1,18.1,4,4,4,NA,1,3,4,5
E067,44,1,1.9,4,4,NA,5,2,3,3,3
E068,39,2,4.2,4,4,5,2,1,4,5,5
E069,56,2,15.7,3,4,3,3,1,3,4,3
E070,33,1,4.5,2,4,5,5,2,4,3,3
E071,41,2,8.4,2,4,1,2,1,3,4,3
E072,53,1,9.2,4,4,3,2,3,3,3,2
E073,25,2,12.3,1,4,4,4,2,3,3,4
E074,38,2,11.7,2,4,2,4,NA,1,3,4
E075,26,2,1.7,3,4,3,5,2,2,3,3
E076,27,3,4.1,4,4,NA,4,1,4,4,5
E077,31,2,6.3,3,4,3,4,1,4,4,3
E078,33,2,7.8,3,4,2,4,2,4,3,4
E079,34,2,14.4,1,4,3,3,NA,3,2,2
E080,37,2,2.9,3,4,3,1,2,4,4,4
E081,42,2,8.9,4,4,4,5,1,4,3,3
E082,57,2,1.1,2,4,4,3,1,NA,NA,3
E083,52,2,9.4,4,4,4,4,2,3,3,3
E084,60,2,16,2,4,4,3,3,NA,3,4
E085,35,1,9.7,4,5,1,1,2,2,4,2
E086,55,1,5.1,3,4,3,5,NA,3,4,2
E087,27,2,17.8,4,4,4,3,2,5,4,3
E088,27,1,3,3,4,3,5,2,2,4,3
E089,51,1,5.8,1,3,5,5,1,5,5,4
E090,44,2,17.7,1,4,3,5,1,NA,2,4
E091,46,1,15.1,1,1,5,5,1,4,4,4
E092,27,1,2.4,4,4,3,3,3,3,4,4
E093,57,2,16.4,4,3,3,3,1,4,5,4
E094,56,1,17.2,2,4,4,5,1,5,4,4
E095,24,1,2.8,1,4,3,4,2,2,4,3
E096,50,2,3.2,3,4,2,3,1,5,3,4
E097,43,2,11.2,1,4,2,2,2,3,4,3
E098,60,2,1.7,3,4,2,4,2,4,3,2
E099,58,1,10.2,1,4,4,2,3,4,4,5
E100,40,2,0.6,4,4,4,3,1,3,4,1
E101,53,1,17,1,4,3,5,NA,2,3,NA
E102,42,1,1.7,2,4,5,4,2,3,NA,5
E103,30,2,16.5,3,4,3,4,3,NA,3,3
E104,51,2,11,2,5,4,NA,1,4,4,4
E105,53,1,10.2,1,4,3,2,4,4,4,4
E106,50,2,0.9,3,4,3,3,2,3,2,4
E107,30,1,11.3,2,4,4,3,3,3,2,3
E108,34,1,14.5,4,4,3,1,2,3,3,3
E109,35,2,5.1,1,4,4,3,1,3,2,4
E110,45,1,16.3,1,4,3,4,NA,2,4,NA
E111,57,3,8.7,4,2,4,NA,2,5,NA,3
E112,57,1,11.5,3,4,4,NA,1,4,3,4
E113,37,2,3.5,3,4,3,4,2,NA,4,3
E114,52,2,4.3,2,4,3,3,3,1,1,3
E115,54,2,3.8,2,4,2,3,3,3,3,3
E116,51,1,16.8,2,4,3,2,2,3,4,4
E117,37,2,2.7,2,5,4,2,1,3,5,4
E118,34,2,5.7,3,4,5,4,NA,4,4,3
E119,24,2,16.1,2,4,NA,3,2,2,1,NA
E120,49,2,6.3,4,4,5,3,2,3,3,4
E121,30,1,17.4,4,4,3,4,3,3,4,3
E122,47,1,1.3,1,4,2,2,2,4,3,3
E123,28,2,7.1,1,4,4,5,2,2,3,2
E124,37,1,6.5,2,4,3,4,2,4,3,3
E125,35,2,3,3,4,4,3,2,3,4,3
E126,55,1,7.8,3,4,NA,3,2,4,5,3
E127,37,2,9.6,3,4,3,2,2,NA,3,3
E128,40,2,1.4,4,4,3,3,4,3,2,2
E129,40,1,19.8,3,4,3,2,1,3,4,4
E130,46,1,18.2,2,4,3,3,2,5,5,4
E131,38,1,19.6,1,4,3,4,2,5,4,4
E132,60,1,3.8,4,4,4,3,1,1,1,NA
E133,61,1,1.3,2,4,5,4,1,2,3,3
E134,59,1,3.3,3,4,4,4,1,4,2,4
E135,25,1,7.5,3,4,3,4,1,3,NA,4
E136,41,2,11.1,2,4,5,3,1,3,4,5
E137,36,2,18.8,1,3,4,5,1,4,4,4
E138,49,2,12.9,2,4,4,4,1,3,2,2
E139,47,1,10,1,4,3,2,NA,3,3,3
