sup_id,emp_id,perf1,perf2,perf3,ocb1,ocb2
S01,E001,4,4,4,4,5
S01,E002,4,2,4,3,1
S01,E003,4,2,1,3,4
S01,E004,3,4,4,4,2
S01,E005,4,3,2,4,5
S02,E006,2,3,3,3,1
S02,E007,4,4,4,4,3
S02,E008,3,2,2,3,2
S02,E009,5,3,2,4,3
S02,E010,4,4,4,4,3
S02,E011,4,4,3,4,5
S03,E012,3,4,3,3,3
S03,E013,4,3,3,3,4
S03,E014,3,2,3,3,4
S03,E015,3,3,2,4,4
S03,E016,4,3,5,4,4
S03,E017,3,3,3,3,3
S03,E018,4,3,3,4,2
S04,E019,4,3,3,3,3
S04,E020,5,3,4,3,4
S04,E021,3,3,3,4,1
S04,E022,3,2,1,4,2
S04,E023,5,3,1,3,2
S04,E024,3,2,3,5,2
S05,E025,4,4,4,5,4
S05,E026,4,3,3,4,4
S05,E027,4,4,4,4,4
S05,E028,3,3,3,4,4
S06,E029,3,3,3,5,4
S06,E030,3,3,4,3,4
S06,E031,4,4,2,3,4
S07,E032,5,5,3,3,3
S07,E033,2,3,3,5,3
S07,E034,1,2,2,4,5
S07,E035,2,2,1,4,3
S07,E036,4,3,3,3,4
S07,E037,3,1,1,3,4
S07,E038,1,3,2,2,5
S07,E039,3,2,4,1,3
S08,E040,3,2,3,5,2
S08,E041,4,3,3,4,3
S08,E042,3,4,5,4,2
S09,E043,2,4,2,4,4
S09,E044,3,4,3,4,3
S09,E045,3,1,4,3,3
S09,E046,3,2,4,4,4
S09,E047,3,2,4,4,3
S09,E048,4,3,3,4,3
S10,E049,3,5,2,4,5
S10,E050,3,4,4,4,5
S10,E051,3,2,2,3,3
S10,E052,3,4,3,3,4
S10,E053,3,5,2,3,4
S10,E054,3,4,4,5,4
S10,E055,3,4,3,3,3
S10,E056,3,2,4,3,3
S10,E057,3,3,3,3,4
S11,E058,1,3,3,3,3
S11,E059,2,4,2,3,3
S11,E060,3,4,3,4,3
S11,E061,2,3,2,3,3
S11,E062,4,4,4,3,5
S11,E063,3,4,3,2,3
S11,E064,5,5,5,3,3
S11,E065,2,4,3,3,3
S12,E066,4,3,3,4,4
S13,E067,4,4,2,2,4
S13,E068,4,5,4,4,5
S13,E069,3,3,2,2,3
S13,E070,4,3,4,5,3
S13,E071,5,3,4,4,2
S14,E072,4,3,2,3,4
S14,E073,4,5,3,2,3
S14,E074,3,4,3,3,3
S14,E075,3,3,3,4,4
S14,E076,2,1,2,4,5
S14,E077,3,3,4,4,3
S14,E078,4,3,4,5,3
S14,E079,5,5,3,2,3
S15,E080,4,3,3,3,5
S15,E081,4,5,2,4,4
S15,E082,5,4,4,4,4
S15,E083,4,3,4,3,4
S15,E084,4,3,4,4,4
S16,E085,4,3,4,2,4
S16,E086,4,5,4,3,1
S16,E087,3,3,5,5,3
S16,E088,3,3,4,4,2
S16,E089,3,3,3,3,4
S16,E090,3,1,2,4,2
S16,E091,2,4,4,4,3
S16,E092,4,3,3,3,4
S16,E093,5,3,4,4,5
S16,E094,5,5,5,5,4
S17,E095,2,2,2,2,3
S17,E096,3,2,2,5,4
S17,E097,2,2,2,3,3
S17,E098,3,3,3,4,1
S17,E099,3,4,1,3,5
S17,E100,2,2,2,3,3
S17,E101,3,3,3,2,2
S18,E102,3,3,3,4,4
S18,E103,2,2,3,3,2
S18,E104,3,3,1,4,4
S18,E105,4,3,3,4,3
S18,E106,4,3,2,3,4
S19,E107,2,3,3,3,3
S19,E108,2,1,3,4,2
S19,E109,5,4,4,4,4
S19,E110,4,3,3,3,5
S19,E111,5,5,3,4,3
S19,E112,4,5,4,5,3
S19,E113,4,4,4,4,2
S20,E114,3,1,2,4,4
S20,E115,3,4,3,2,3
S20,E116,5,3,4,4,2
S20,E117,5,4,5,4,2
S20,E118,5,5,3,3,5
S21,E119,2,4,3,2,2
S21,E120,4,4,2,4,2
S21,E121,4,2,4,3,2
S21,E122,3,3,2,3,3
S22,E123,4,3,5,4,3
S22,E124,4,3,3,4,2
S22,E125,1,4,2,5,4
S22,E126,2,2,2,5,3
S23,E127,3,4,2,5,4
S23,E128,4,3,4,4,3
S23,E129,4,3,4,4,5
S23,E130,4,5,3,4,2
S23,E131,4,4,3,5,4
S23,E132,4,5,2,2,4
S23,E133,5,4,4,3,4
S23,E134,4,4,2,4,3
S24,E135,3,3,3,2,4
S24,E136,5,3,4,3,2
S24,E137,4,2,4,5,4
S24,E138,3,3,3,1,3
S24,E139,1,2,3,3,3
S24,E140,4,3,2,3,5
S24,E141,2,2,4,4,3
S24,E142,3,3,3,4,3
S24,E143,3,3,1,4,4
S24,E144,5,4,4,3,5
S24,E145,4,4,4,3,3
S25,E146,4,3,2,3,3
S25,E147,3,4,3,3,4
S25,E148,4,2,1,4,4
S25,E149,4,3,2,3,4
S25,E150,3,4,4,1,4
